年底別,寺廟及教堂數/總計[座],寺廟及教堂數/道教[座],寺廟及教堂數/佛教[座],寺廟及教堂數/一貫道[座],寺廟及教堂數/天主教[座],寺廟及教堂數/基督教[座],寺廟及教堂數/伊斯蘭教[座],寺廟及教堂數/天理教[座],寺廟及教堂數/巴哈伊教[座],寺廟及教堂數/其他[座],教信徒人數/總計[人],教信徒人數/道教[人],教信徒人數/佛教[人],教信徒人數/一貫道[人],教信徒人數/天主教[人],教信徒人數/基督教[人],教信徒人數/伊斯蘭教[人],教信徒人數/天理教[人],教信徒人數/巴哈伊教[人],教信徒人數/其他[人]
57年,400,112,108,-,45,129,2,1,-,3,257972,124884,86089,-,13589,31407,834,23,-,1146
58年,393,118,107,-,40,123,2,-,-,3,319554,190247,85753,-,11886,29463,997,-,-,1208
59年,400,113,114,-,39,128,2,-,-,4,349006,210079,89084,-,16889,30672,1070,-,-,1212
60年,403,113,114,-,42,129,2,-,-,3,319804,174815,92928,-,16677,33117,1120,-,-,1147
61年,402,113,113,-,42,129,2,-,-,3,319713,174815,92837,-,16677,33117,1120,-,-,1147
62年,414,126,108,-,43,131,2,-,-,4,401191,252324,86777,-,22383,36627,1610,-,-,1470
63年,451,161,123,-,40,120,2,1,-,4,382260,211497,83063,-,20179,54640,1637,9990,-,1254
64年,461,166,123,-,40,126,2,1,-,3,386405,211830,83263,-,21889,56980,1637,9990,-,816
65年,478,141,106,-,47,176,2,2,-,4,328717,205009,45704,-,19641,46096,2084,7909,-,2274
66年,452,110,93,-,46,194,2,2,-,5,237354,169680,20520,-,14054,29343,2357,70,-,1330
67年,477,110,95,-,49,215,2,3,-,3,296973,199550,34836,-,15363,37279,1803,7947,-,195
68年,482,102,94,-,49,227,1,4,-,5,292189,190623,27451,-,14439,49747,1755,7963,-,211
69年,494,106,92,-,51,234,2,4,-,5,198603,98816,22814,-,14853,52141,1805,7963,-,211
70年,478,94,87,-,48,238,2,4,-,5,322148,232127,23438,-,14834,41051,1821,8662,-,215
71年,496,94,84,-,46,260,2,4,-,6,298835,205824,22119,-,14354,42581,1878,8780,-,3299
72年,508,97,85,-,46,268,2,4,-,6,280889,185699,24782,-,13390,42576,1890,8913,-,3639
73年,540,105,112,-,44,267,2,4,-,6,247277,36743,143531,-,12071,39647,1905,8934,-,4446
74年,546,106,113,-,42,273,2,4,-,6,113407,12271,24465,-,11355,50974,1910,8856,-,3576
75年,521,108,88,-,42,271,2,4,-,6,122994,11025,25637,-,14337,66522,1910,300,-,3263
76年,498,111,90,-,34,251,1,4,-,7,54650,9232,5499,-,9007,25546,1755,300,-,3311
77年,541,106,89,-,41,292,1,5,-,7,153728,10595,6487,-,10176,105039,1755,7935,-,11741
78年,522,104,91,1,39,275,1,4,-,7,182672,9974,7565,120,10115,129812,5065,8250,-,11771
79年,399,104,90,1,19,176,-,3,-,6,84498,8290,2799,216,39296,23422,-,10096,-,379
80年,400,104,93,1,19,174,-,3,1,5,105516,7396,2672,216,6322,59651,-,28500,480,279
81年,449,111,97,1,35,194,1,4,-,6,193409,9426,4504,216,6790,137899,5605,28540,-,429
82年,410,104,94,2,56,143,1,3,-,7,171826,8850,4631,226,5801,118127,5065,28213,-,913
83年,404,101,93,3,19,180,1,4,-,3,171295,8267,4816,204,5836,118253,5065,28703,-,151
84年,600,105,84,2,33,271,49,7,45,4,187885,8193,6865,268,27566,107611,5063,28467,3741,111
85年,572,103,86,2,39,333,1,3,1,4,188867,7229,6650,268,27789,118249,107,28265,230,80
86年,566,106,91,3,36,321,1,3,1,4,187674,6838,6424,287,26518,118852,105,28303,230,117
87年,548,111,95,3,35,296,1,3,1,3,189599,9087,6607,287,27172,119856,120,26110,230,130
88年,553,117,95,3,36,293,1,3,1,4,199014,8122,8503,287,27031,153809,120,567,460,115
89年,509,111,92,3,34,262,1,2,1,3,162526,9313,7948,267,27935,116503,120,140,230,70
90年,564,116,92,2,38,309,1,2,1,3,175313,19062,6314,267,28353,120752,113,142,230,80
91年,642,131,99,2,48,355,2,4,1,7,197754,19669,6378,423,35877,134076,619,279,172,261
92年,682,147,109,2,48,362,2,4,1,7,193861,20108,6727,410,35344,129934,637,275,161,265
93年,687,153,107,3,49,361,2,4,1,7,195828,20686,7262,447,35845,130246,635,268,163,276
94年,692,153,107,3,49,366,2,4,1,7,198038,21628,7960,556,35834,130699,654,268,163,276
95年,642,155,106,4,40,327,1,2,1,6,183352,9113,1757,330,38454,132759,145,148,163,483
96年,698,156,106,4,52,364,2,4,1,9,194225,9029,1751,330,40182,140987,822,333,165,626
